id,name,summary,provider,language,url,thumbnail,tags
1,10.Finanzas y Presupuestos en Situaciones de Emergencia,"Esta unidad es una introducción básica para el personal que trabajará en emergencias en cualquier tipo de función que cubra una introducción a la gestión financiera y la presentación de algunos conceptos y procesos clave, la gestión de las finanzas, la elaboración de un presupuesto básico y el dinero durante las emergencias.",Humanitarian Leadership Academy,es,https://kayaconnect.org/course/info.php?id=4587,https://kayaconnect.org/pluginfile.php/780486/course/overviewfiles/Finance Banner.jpg,budgets-and-finance
2,Accesul și principiile asistenței umanitare,This course p​rovides an introduction to the ​humanitarian principles and how they impact humanitarian access and decision making in complex operating environments. Learners will use the principles to guide decision making in this immersive course.,Norwegian Refugee Council (NRC),"en, ron",https://kayaconnect.org/course/info.php?id=4229,https://kayaconnect.org/pluginfile.php/668150/course/overviewfiles/Humanitarian Access  Principles.png,"humanitarian-essentials, principles-practices-and-standards"
3,Accountability and Learning,"Evidence has shown that a strong accountability and learning system supports high quality and appropriate programme interventions. This module explores what these terms mean in a humanitarian context, and their benefits.","FIELD Programme, Save the Children, Humanitarian Leadership Academy, World Vision",en,https://kayaconnect.org/course/info.php?id=2807,https://kayaconnect.org/pluginfile.php/324467/course/overviewfiles/MEALImage.png,"accountability, humanitarian-essentials, monitoring-and-evaluation, programmatic-support"
4,Accounting,It is a legal requirement for all organisations to maintain a record of financial transactions for public scrutiny. Organisations that fail to submit annual accounts with regulatory bodies can face penalties. This course aims to improve your knowledge around key accounting processes and functions.,"FIELD Programme, Save the Children, Humanitarian Leadership Academy, World Vision",en,https://kayaconnect.org/course/info.php?id=2202,https://kayaconnect.org/pluginfile.php/205894/course/overviewfiles/FinanceCourseImage_1 (1).png,"budgets-and-finance, humanitarian-essentials, management-essentials"
5,Achiziții ,"Achizițiile reprezintă procesul de identificare și de obținere a bunurilor și serviciilor. Acesta include identificarea surselor de aprovizionare și achiziționarea și acoperă toate activitățile, de la identificarea potențialilor furnizori până la livrarea de la furnizor la utilizatori sau beneficiari. ","FIELD Programme, Save the Children, Humanitarian Leadership Academy, World Vision",ron,https://kayaconnect.org/course/info.php?id=4347,https://kayaconnect.org/pluginfile.php/706231/course/overviewfiles/Banner Template - Kaya 3.png,"humanitarian-essentials, management-essentials, programmatic-support"
6,Acil Durumlarda Finans ve Bütçe ,"Bu modül, acil durumlarda herhangi bir görevde çalışacak personel için, mali yönetime giriş niteliğindedir. Bazı temel kavramları ve süreçleri, finansal kaynakların yönetimini, ayrıca acil durumlarda temel bütçeleme ve parayı ele alır.",Humanitarian Leadership Academy,tur,https://kayaconnect.org/course/info.php?id=5019,https://kayaconnect.org/pluginfile.php/1089384/course/overviewfiles/FinanceBanner.jpg,"humanitarian-essentials, principles-practices-and-standards, programme-design, project-management"
7,Acil Durumlarda İhtiyaç Değerlendirmesine Giriş ,"Bu kurs, size insani müdahalelerde ihtiyaç değerlendirmesinin amacı ve rolü hakkında temel bir anlayış ve ihtiyaç değerlendirmesinin nasıl yürütüleceğine dair pratik adımlar sunmayı amaçlar.","Save the Children, Humanitarian Leadership Academy",tur,https://kayaconnect.org/course/info.php?id=4741,https://kayaconnect.org/pluginfile.php/839606/course/overviewfiles/NAThumbnail.png,"accountability, coordination, monitoring-and-evaluation, principles-practices-and-standards, programmatic-support, programme-design, quality-and-governance"
8,"Acil Durumlarda İzleme, Değerlendirme, Hesap Verebilirlik ve Öğrenme MEAL","Bu modül, acil durumlarda herhangi bir görevde çalışacak personel için, mali yönetime giriş niteliğindedir. Bazı temel kavramları ve süreçleri, finansal kaynakların yönetimini, ayrıca acil durumlarda temel bütçeleme ve parayı ele alır.",Humanitarian Leadership Academy,tur,https://kayaconnect.org/course/info.php?id=5025,https://kayaconnect.org/pluginfile.php/1089545/course/overviewfiles/meal.jpg,"humanitarian-essentials, principles-practices-and-standards, programme-design, project-management"
9,Acil Durumlarda Sorumlu Veri Yönetimi ,"Bu modül, insani yardım aktörlerinin, insani yardım faaliyetlerinin bir parçası olarak insanlardan topladıkları verilerin güvenli ve sorumlu bir şekilde yönetilmesini sağlama sorumluluğunun altını çizmeyi amaçlar. ",Humanitarian Leadership Academy,tur,https://kayaconnect.org/course/info.php?id=5026,https://kayaconnect.org/pluginfile.php/1089571/course/overviewfiles/responsible data.png,"humanitarian-essentials, principles-practices-and-standards, programme-design, project-management"
10,"Acil Durumlarda Su, Sanitasyon ve Hijyene (WASH) Giriş","Bu modül, acil durumlarda herhangi bir görevde çalışacak personel için, mali yönetime giriş niteliğindedir. Bazı temel kavramları ve süreçleri, finansal kaynakların yönetimini, ayrıca acil durumlarda temel bütçeleme ve parayı ele alır.",Humanitarian Leadership Academy,tur,https://kayaconnect.org/course/info.php?id=5024,https://kayaconnect.org/pluginfile.php/1089524/course/overviewfiles/Banner_WASH.jpg,"humanitarian-essentials, principles-practices-and-standards, programme-design, project-management"
